taxonomy,uri,taxonomy.parent,type,description,summary
BUS001, /businessindustryandtrade,,Landing Page,"Business, industry and trade","Activities of businesses and industry in the UK, including data on the production and trade of goods and services, sales by retailers, characteristics of businesses, the construction and manufacturing sectors, and international trade."
BUS002, /businessindustryandtrade /business,BUS001,Landing Page,Business,"UK businesses registered for VAT and PAYE with regional breakdowns, including data on size (employment and turnover) and activity (type of industry), research and development, and business services."
BUS003, /businessindustryandtrade /business /activitysizeandlocation,BUS002,Product Page,"Activity, size and location","UK businesses broken down by location, industry, legal status and employment, and UK enterprise levels measured by turnover."
BUS004, /businessindustryandtrade /business /businessinnovation,BUS002,Product Page,Business innovation,"Research and development in the UK carried out or funded by business enterprises, higher education, government (including research councils) and private non-profit organisations."
BUS005, /businessindustryandtrade /business /businessservices,BUS002,Product Page,Business services,"Size and growth of the UK non-financial business economy as measured by the Annual Business Survey (ABS), and the value of e-commerce and the adoption and use of information and communication technologies (ICTs) by UK businesses."
BUS006, /businessindustryandtrade /changestobusiness,BUS001,Landing Page,Changes to business,"UK business growth, survival and change over time. These figures are an informal indicator of confidence in the UK economy."
BUS007, /businessindustryandtrade /changestobusiness /bankruptcyinsolvency,BUS006,Product Page,Bankruptcy/insolvency,"UK business insolvencies, bankruptcies and other forms of debt relief."
BUS008, /businessindustryandtrade /changestobusiness /businessbirthsdeathsandsurvivalrates,BUS006,Product Page,"Business births, deaths and survival rates","Demography of UK businesses: active businesses, new registrations for VAT and PAYE (births), cessation of trading (deaths), and duration of trading (survival rates). "
BUS009, /businessindustryandtrade /changestobusiness /mergersandacquisitions,BUS006,Product Page,Mergers and acquisitions,"Business mergers and acquisitions involving UK companies, including de-mergers and disposals, where the transaction value is 1 million or more."
BUS010, /businessindustryandtrade /constructionindustry,BUS001,Product Page,Construction industry,"Construction of new buildings and repairs or alterations to existing properties in Great Britain measured by the amount charged for the work, including work by civil engineering companies. "
BUS011, /businessindustryandtrade /internationaltrade,BUS001,Product Page,International trade,"Trade in goods and services across the UK's international borders, including total imports and exports, the types of goods and services traded and general trends in international trade. "
